"","price","building_number","street_number","street_name","city","province","squares","type","year","age","bed","bath","tax","longitude","latitude"
"134","$948,000","2802","928","Beatty Street","Vancouver West","BC","865 sq.ft.","Residential, Condo",2005,13,2,"2","$2,226",-123.1157455,49.2761941
"135","$947,900","2308","8031","Nunavut Lane","Vancouver West","BC","781 sq.ft.","Residential, Condo",2016,2,2,"2","$2,345",-123.1165148,49.2117471
"136","$945,000","803","1341","Clyde Avenue","West Vancouver","BC","1,067 sq.ft.","Residential, Condo",1976,42,2,"2","$1,970",-123.1527887,49.3289716
"137","$945,000","Ph2","611-611","W 13th Avenue","Vancouver West","BC","1,137 sq.ft.","Residential, Condo",1992,26,2,"2","$2,495",-123.1181341,49.2597932
"138","$945,000","25","6088","Beresford Street","Burnaby","BC","1,430 sq.ft.","Residential, Condo",2014,4,3,"3+1","$3,197",-122.974688,49.2170869
"139","$940,000","514","555","Abbott Street","Vancouver West","BC","833 sq.ft.","Residential, Condo",1995,23,2,"1","$1,530",-123.1079715,49.2802098
"140","$939,900","1002","162","Victory Ship Way","North Vancouver","BC","900 sq.ft.","Residential, Condo",2010,8,2,"2","$2,558",-123.0778803,49.309843
"141","$939,900","502","300","Morrissey Road","Port Moody","BC","1,095 sq.ft.","Residential, Condo",2021,NA,2,"2",NA,-122.8290397,49.2797739
"142","$939,000","411","680","Seylynn Crescent","North Vancouver","BC","1,058 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,NA,NA
"143","$939,000","111","1111","E 27th Street","North Vancouver","BC","1,050 sq.ft.","Residential, Condo",2009,9,2,"2","$3,349",-123.0427249,49.3326865
"144","$939,000","111","2738","Library Lane","North Vancouver","BC","947 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.0724139,49.3199816
"145","$939,000","307","1066","Hamilton Street","Vancouver West","BC","964 sq.ft.","Residential, Condo",1911,107,1,"1","$1,987",-123.1204946,49.2762465
"146","$939,000","206","217","W 8th Street","North Vancouver","BC","1,016 sq.ft.","Residential, Condo",2013,5,2,"2","$2,534",-123.1099441,49.2640258
"147","$938,900","211","209","E 20th Avenue","Vancouver East","BC","747 sq.ft.","Residential, Condo",2019,NA,2,"2",NA,-123.1007807,49.2531977
"148","$938,900","415","2388","Western Parkway","Vancouver West","BC","835 sq.ft.","Residential, Condo",2006,12,2,"2","$1,661",-123.2410545,49.2636869
"149","$938,000","323","2280","Wesbrook Mall","Vancouver West","BC","1,024 sq.ft.","Residential, Condo",2005,13,2,"2","$1,295",-123.242501,49.2631855
"150","$938,000","409","4101","Yew Street","Vancouver West","BC","1,165 sq.ft.","Residential, Condo",1974,44,2,"2","$1,947",-123.1558289,49.2498458
"151","$938,000","3504","5470","Ormidale Street","Vancouver East","BC","848 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.0247969,49.2344748
"152","$938,000","906","555","Jervis Street","Vancouver West","BC","670 sq.ft.","Residential, Condo",1996,22,1,"1","$1,593",-123.1258117,49.2893935
"153","$938,000","1801","188","Agnes Street","New Westminster","BC","1,154 sq.ft.","Residential, Condo",2017,1,2,"2",NA,-122.9034489,49.2081313
"154","$938,000","312","5955","Birney Avenue","Vancouver West","BC","946 sq.ft.","Residential, Condo",2013,5,2,"2","$1,536",-123.2360983,49.2536016
"155","$938,000","903","1277","Nelson Street","Vancouver West","BC","938 sq.ft.","Residential, Condo",1995,23,2,"2","$1,658",-123.1310205,49.2847604
"156","$938,000","607","4083","Cambie Street","Vancouver West","BC","913 sq.ft.","Residential, Condo",2017,1,2,"2","$2,737",-123.1158023,49.2494882
"157","$936,000","3509","6658","Dow Avenue","Burnaby","BC","904 sq.ft.","Residential, Condo",2014,4,2,"2","$2,830",-123.000916,49.223319
"158","$935,000",NA,"3127","Frey Place","Port Coquitlam","BC","2,162 sq.ft.","Residential, Condo",1980,38,4,"3","$2,754",-122.765265,49.269785
"159","$935,000","204","719","W 3rd Street","North Vancouver","BC","1,005 sq.ft.","Residential, Condo",2017,1,3,"2","$2,174",-123.0927517,49.3192998
"160","$935,000","1305","6638","Dunblane Avenue","Burnaby","BC","877 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-122.9928624,49.2232244
"161","$932,000","906","1327","E Keith Road","North Vancouver","BC","1,105 sq.ft.","Residential, Condo",1992,26,2,"2","$3,006",-123.0366736,49.3125903
"162","$930,000","301","5580","No 3 Road","Richmond","BC","835 sq.ft.","Residential, Condo",2018,NA,2,"2",NA,-123.135692,49.173274
"163","$930,000","207","3228","Tupper Street","Vancouver West","BC","998 sq.ft.","Residential, Condo",2006,12,2,"2","$2,219",-123.1157263,49.2566601
"164","$930,000","1502","939","Expo Boulevard","Vancouver West","BC","881 sq.ft.","Residential, Condo",2005,13,2,"2","$2,004",-123.1155367,49.2755494
"165","$929,900","1607","300","Morrissey Road","Port Moody","BC","960 sq.ft.","Residential, Condo",2021,NA,2,"2",NA,-122.8290397,49.2797739
