"price","address","squares","type","year","age","bed","bath","tax","fee"
"$949,900","407 4289 Hastings Street, Burnaby, BC","1,034 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$949,900","417 220 Salter Street, New Westminster, BC","1,237 sq.ft.","Residential, Condo","2013","5","2","2","$3,136",NA
"$949,900","1602 114 W Keith Road, North Vancouver, BC","956 sq.ft.","Residential, Condo","1977","41","2","2+1","$2,543",NA
"$949,888","502 1050 Smithe Street, Vancouver West, BC","950 sq.ft.","Residential, Condo","2005","13","2","2","$2,118",NA
"$949,800","3304 939 Homer Street, Vancouver West, BC","902 sq.ft.","Residential, Condo","1997","21","2","2","$1,819",NA
"$949,000","908 150 24th Street, West Vancouver, BC","698 sq.ft.","Residential, Condo","1963","55","1","1","$2,055",NA
"$949,000","2606 660 Nootka Way, Port Moody, BC","1,150 sq.ft.","Residential, Condo","2009","9","2","2","$2,986",NA
"$949,000","506 5700 Larch Street, Vancouver West, BC","953 sq.ft.","Residential, Condo","1998","20","2","2","$2,423",NA
"$949,000","606 680 Seylynn Crescent, North Vancouver, BC","1,058 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$949,000","801 1055 Richards Street, Vancouver West, BC","729 sq.ft.","Residential, Condo","2009","9","1","1","$1,778",NA
"$949,000","903 1327 E Keith Road, North Vancouver, BC","1,145 sq.ft.","Residential, Condo","1992","26","2","2","$3,041",NA
"$949,000","2302 4250 Dawson Street, Burnaby, BC","1,160 sq.ft.","Residential, Condo","2008","10","3","2","$2,998",NA
"$949,000","610 610 Granville Street, Vancouver West, BC","887 sq.ft.","Residential, Condo","9999","999","1","2+1","$2,017",NA
"$949,000","518 2665 Mountain Highway, North Vancouver, BC","1,103 sq.ft.","Residential, Condo","2015","3","3","2","$3,846",NA
"$949,000","1002 939 Expo Boulevard, Vancouver West, BC","881 sq.ft.","Residential, Condo","2005","13","2","2","$1,773",NA
"$948,900","106 1591 Bowser Avenue, North Vancouver, BC","1,274 sq.ft.","Residential, Condo","2019",NA,"2","2",NA,NA
"$948,800","18 7051 Ash Street, Richmond, BC","1,530 sq.ft.","Residential, Condo","2012","6","3","3+1","$2,510",NA
"$948,800","110 1010 Chilco Street, Vancouver West, BC","1,055 sq.ft.","Residential, Condo","1986","32","2","2","$1,755",NA
"$948,000","1703 6833 Station Hill Drive, Burnaby, BC","1,175 sq.ft.","Residential, Condo","2004","14","3","2","$2,744",NA
"$948,000","2303 193 Aquarius Mews, Vancouver West, BC","702 sq.ft.","Residential, Condo","2000","18","1","1","$2,276",NA
"$948,000","2302 6823 Station Hill Drive, Burnaby, BC","1,303 sq.ft.","Residential, Condo","2007","11","3","2","$3,050",NA
"$948,000","604 168 Chadwick Court, North Vancouver, BC","1,044 sq.ft.","Residential, Condo","1990","28","2","2","$2,837",NA
"$948,000","3002 2355 Madison Avenue, Burnaby, BC","1,165 sq.ft.","Residential, Condo","2007","11","3","2","$3,020",NA
"$948,000","101 638 Beach Crescent, Vancouver West, BC","780 sq.ft.","Residential, Condo","2006","12","1","1","$2,481",NA
"$948,000","305 2055 Pendrell Street, Vancouver West, BC","1,087 sq.ft.","Residential, Condo","1965","53","2","2","$1,702",NA
"$948,000","405 5199 Brighouse Way, Richmond, BC","1,290 sq.ft.","Residential, Condo","2013","5","2","2","$2,627",NA
"$948,000","104 1675 Augusta Avenue, Burnaby, BC","1,565 sq.ft.","Residential, Condo","1989","29","2","2","$2,526",NA
